@relation data
@attribute ACTION numeric
@attribute CONDITIONAL numeric
@attribute CONTINUANCE numeric
@attribute IMPERATIVE numeric
@attribute OPTION {'0','1','3'}
@attribute RISK_LEVEL numeric
@attribute SOURCE numeric
@attribute WEAK_PHRASE numeric
@attribute class {'1','2'}
@data
5,1,1,0,'0',2,3,0,'2'
2,0,0,0,'0',2,6,0,'2'
4,1,1,0,'0',3,8,0,'2'
1,1,2,2,'0',2,1,0,'2'
1,0,0,0,'0',1,1,0,'2'
3,1,1,1,'0',2,1,0,'2'
1,0,0,0,'0',1,1,0,'2'
2,0,2,2,'0',2,1,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,0,2,2,'0',3,8,0,'2'
1,1,1,1,'0',2,2,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,0,0,1,'0',1,1,0,'2'
2,0,1,0,'0',1,1,0,'2'
1,0,0,1,'0',1,1,0,'2'
2,0,1,0,'0',1,2,0,'2'
1,0,0,0,'0',1,2,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,1,0,1,'0',1,1,0,'2'
1,1,2,2,'0',2,2,0,'2'
1,1,0,0,'0',1,1,0,'2'
1,0,0,1,'0',2,3,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,0,0,'0',1,2,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,1,0,0,'0',1,1,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,0,0,'0',2,4,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,1,1,'0',2,2,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,0,0,'0',1,2,0,'2'
1,0,0,1,'0',1,2,0,'2'
1,0,1,1,'0',2,2,0,'2'
2,0,0,0,'0',1,1,0,'2'
2,0,1,1,'0',2,2,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,0,0,1,'0',1,1,0,'2'
2,1,0,0,'0',1,1,0,'2'
1,0,0,1,'0',1,1,0,'2'
2,1,1,1,'0',2,4,0,'2'
3,1,1,0,'0',2,3,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,1,0,1,'0',2,2,0,'2'
2,0,0,0,'1',1,1,0,'2'
1,0,0,1,'0',1,2,0,'2'
2,0,1,1,'0',2,2,0,'2'
1,0,1,1,'0',2,3,0,'2'
1,0,0,0,'0',2,4,0,'2'
1,0,0,0,'0',2,6,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,0,0,'0',1,1,0,'2'
1,0,0,1,'0',1,1,0,'1'
3,1,2,2,'0',3,2,0,'1'
3,1,2,2,'0',3,2,0,'1'
3,1,3,3,'3',3,2,0,'1'
3,1,4,4,'0',3,4,0,'1'
2,0,2,2,'0',3,4,0,'1'
1,0,0,1,'0',1,1,0,'1'
2,0,0,1,'0',2,2,0,'1'
1,0,0,0,'0',1,1,0,'1'
2,0,1,1,'0',2,2,0,'1'
1,0,1,1,'0',2,2,0,'1'
1,0,0,1,'0',1,1,0,'1'
4,0,2,2,'0',3,2,0,'1'
2,0,1,1,'0',2,2,0,'1'
4,0,3,0,'0',3,6,0,'1'
2,0,0,1,'0',1,1,0,'1'
2,0,0,1,'0',2,2,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
2,0,5,5,'0',3,1,0,'1'
1,0,0,1,'0',2,3,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,2,2,'0',3,4,0,'1'
4,1,2,2,'0',3,2,0,'1'
1,0,1,1,'0',2,3,0,'1'
1,0,1,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,1,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
2,1,1,0,'0',2,2,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,1,0,'0',1,2,0,'1'
1,0,0,0,'0',1,1,0,'1'
4,1,2,2,'0',3,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
3,1,1,0,'0',2,2,0,'1'
2,1,1,0,'0',2,5,0,'1'
2,0,1,1,'0',2,2,0,'1'
2,1,1,0,'0',2,1,0,'1'
2,0,1,0,'0',1,1,0,'1'
2,0,0,0,'0',1,1,0,'1'
2,1,2,2,'0',2,1,0,'1'
1,0,0,1,'0',1,2,0,'1'
4,0,2,2,'0',3,2,0,'1'
2,0,1,0,'0',1,2,0,'1'
1,0,0,1,'0',1,2,0,'1'
2,0,1,0,'0',1,1,0,'1'
4,1,4,4,'0',3,2,0,'1'
4,0,1,1,'1',2,2,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
2,0,1,0,'0',1,1,0,'1'
2,0,1,0,'0',1,2,0,'1'
2,0,1,0,'0',1,1,0,'1'
1,0,0,0,'0',1,2,0,'1'
2,0,1,0,'0',1,1,0,'1'
1,0,0,1,'0',1,2,0,'1'
1,0,1,0,'0',1,2,0,'1'
5,1,1,1,'0',3,4,0,'1'
4,0,2,2,'0',3,2,0,'1'
1,0,3,0,'0',2,2,0,'1'
6,0,1,1,'0',3,4,0,'1'
4,1,2,2,'0',3,2,0,'1'
2,0,1,0,'1',2,2,0,'1'
1,0,0,1,'0',1,2,0,'1'
2,1,2,2,'0',3,3,0,'1'
2,0,0,1,'0',2,2,0,'1'
1,0,1,1,'0',2,2,0,'1'
2,0,1,1,'0',2,2,0,'1'
4,0,1,1,'0',2,2,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
2,0,0,0,'0',1,2,0,'1'
3,0,1,1,'0',2,2,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,2,2,'0',2,2,0,'1'
2,0,1,0,'0',2,3,0,'1'
2,0,1,0,'0',2,3,0,'1'
1,0,0,1,'0',1,1,0,'1'
2,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,1,1,'0',2,2,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,3,3,'0',3,11,0,'1'
4,0,1,1,'0',2,2,0,'1'
4,0,2,2,'0',3,2,0,'1'
1,0,2,0,'0',3,11,0,'1'
1,0,0,1,'0',1,2,0,'1'
1,0,1,0,'0',1,2,0,'1'
2,0,0,0,'0',1,2,0,'1'
1,0,0,0,'0',1,3,0,'1'
1,0,0,0,'0',1,2,0,'1'
1,0,0,1,'0',1,1,0,'1'
2,0,2,2,'0',2,2,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,0,'0',1,2,0,'1'
1,1,0,5,'0',3,1,0,'1'
4,1,1,0,'0',2,2,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,1,0,0,'0',1,2,0,'1'
2,0,1,0,'0',2,5,0,'1'
2,0,1,1,'0',2,1,0,'1'
1,1,0,1,'0',1,1,0,'1'
2,0,1,0,'0',1,1,0,'1'
2,1,1,0,'0',2,3,0,'1'
1,0,0,2,'0',2,2,0,'1'
3,0,1,0,'0',2,3,0,'1'
3,0,1,1,'0',2,2,0,'1'
4,0,1,0,'0',2,2,0,'1'
3,0,1,0,'0',2,2,0,'1'
3,0,1,0,'0',2,2,0,'1'
2,1,1,0,'0',2,2,0,'1'
4,1,1,0,'0',2,3,0,'1'
2,0,1,0,'0',2,3,0,'1'
3,1,1,0,'0',2,2,0,'1'
2,0,1,0,'0',2,3,0,'1'
2,0,1,0,'0',1,1,0,'1'
1,0,1,1,'0',2,3,0,'1'
1,0,0,0,'0',1,3,0,'1'
1,0,0,0,'0',1,3,0,'1'
1,0,1,1,'0',2,2,0,'1'
1,0,1,1,'0',2,2,0,'1'
1,0,1,1,'0',2,2,0,'1'
4,1,1,1,'0',3,3,0,'1'
3,1,3,3,'0',3,4,0,'1'
1,0,0,1,'0',1,1,0,'1'
3,1,1,0,'0',2,2,0,'1'
1,0,1,1,'0',2,2,0,'1'
1,0,2,2,'0',3,11,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
2,0,0,1,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,3,3,'0',3,11,0,'1'
3,0,2,2,'0',3,3,0,'1'
4,1,2,2,'0',3,2,0,'1'
1,1,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,2,0,'1'
1,1,0,0,'0',1,2,0,'1'
2,0,1,1,'0',2,1,0,'1'
2,0,1,0,'0',2,3,0,'1'
2,0,1,0,'0',2,3,0,'1'
2,0,1,0,'0',2,3,0,'1'
4,1,1,0,'0',2,2,0,'1'
2,0,1,0,'0',1,2,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,1,1,'0',2,2,0,'1'
2,1,1,0,'0',2,3,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
2,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
2,0,1,1,'0',2,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,1,1,1,'0',2,2,0,'1'
1,1,0,1,'0',1,1,0,'1'
1,0,1,1,'0',2,3,0,'1'
1,0,0,1,'0',1,1,0,'1'
3,1,2,2,'0',3,2,0,'1'
3,1,1,1,'0',2,1,0,'1'
3,1,1,1,'0',2,3,0,'1'
1,0,0,1,'0',1,2,0,'1'
1,0,0,1,'0',1,2,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,1,1,'0',2,2,0,'1'
2,0,1,1,'0',2,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
2,1,0,2,'0',2,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,1,'0',1,1,0,'1'
4,1,0,2,'0',3,4,0,'1'
1,0,0,1,'0',2,3,0,'1'
1,0,0,1,'0',2,3,0,'1'
3,1,3,3,'0',3,5,0,'1'
3,1,3,3,'0',3,3,0,'1'
1,0,0,1,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
4,0,2,2,'0',3,4,0,'1'
1,0,3,3,'0',3,23,0,'1'
2,0,1,1,'0',2,3,0,'1'
3,0,1,1,'0',2,1,0,'1'
3,0,3,3,'0',3,2,0,'1'
2,0,2,0,'0',2,2,0,'1'
1,0,2,0,'0',3,9,0,'1'
2,0,1,0,'0',1,1,0,'1'
1,0,0,0,'0',1,1,0,'1'
