@relation data
@attribute xs numeric
@attribute ys numeric
@attribute class {'1','2'}
@data
0.497916,0.613344,'2'
0.353352,0.773243,'2'
-0.347226,0.701779,'2'
0.583805,0.763575,'2'
-0.137278,0.712464,'2'
0.388273,0.449771,'2'
-0.531727,0.619343,'2'
-0.116846,0.878512,'2'
0.543359,0.411749,'2'
-0.453993,0.66513,'2'
-0.219132,0.834849,'2'
0.304857,0.980288,'2'
0.656768,0.75766,'2'
0.614204,0.75039,'2'
-0.4581,0.779686,'2'
-0.216175,0.886263,'2'
-0.260161,0.810086,'2'
0.318845,0.845177,'2'
-0.237274,0.801788,'2'
0.583103,0.777098,'2'
0.028413,0.757926,'2'
-0.418401,0.680414,'2'
0.674129,0.602455,'2'
-0.252783,0.705261,'2'
0.516098,0.620924,'2'
0.203923,0.916415,'2'
-0.172071,1.008841,'2'
0.272745,0.29347,'2'
0.076348,0.562222,'2'
-0.366535,0.64831,'2'
0.442907,0.800877,'2'
-0.199764,0.542952,'2'
-0.540757,0.65293,'2'
-0.070603,1.002969,'2'
0.507151,0.350458,'2'
-0.060486,0.629827,'2'
0.215329,0.602602,'2'
0.468091,0.871824,'2'
-0.298885,0.736699,'2'
0.861296,0.472893,'2'
0.701209,0.745729,'2'
-0.113428,0.600671,'2'
0.312344,0.907563,'2'
-0.121725,0.841129,'2'
0.368679,0.370526,'2'
0.573115,0.409497,'2'
-0.258412,0.671923,'2'
0.309372,0.508233,'2'
0.433193,0.77017,'2'
-0.30448,0.578201,'2'
0.442763,0.580234,'2'
-0.194421,0.898768,'2'
-0.061052,0.741849,'2'
0.076193,0.353862,'2'
0.85827,0.958195,'2'
0.370392,0.723424,'2'
0.514815,0.76204,'2'
0.431275,0.542592,'2'
0.422861,0.652422,'2'
0.29815,0.934537,'2'
0.371283,0.700892,'2'
-0.515287,0.764735,'2'
0.385258,0.655282,'2'
-0.348254,0.5053,'2'
0.685105,0.780674,'2'
-0.365289,0.457033,'2'
-0.409036,0.742304,'2'
0.435744,0.446898,'2'
0.268878,0.445592,'2'
-0.492549,1.014434,'2'
0.07616,0.637952,'2'
0.492262,0.468762,'2'
-0.402496,0.713011,'2'
