@relation data
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute X13 numeric
@attribute X14 numeric
@attribute X15 numeric
@attribute X16 numeric
@attribute X17 numeric
@attribute X18 numeric
@attribute X19 numeric
@attribute X20 numeric
@attribute X21 numeric
@attribute X22 numeric
@attribute X23 numeric
@attribute X24 numeric
@attribute X25 numeric
@attribute X26 numeric
@attribute X27 numeric
@attribute X28 numeric
@attribute X29 numeric
@attribute X30 numeric
@attribute X31 numeric
@attribute X32 numeric
@attribute class {'1','2','3','4','5'}
@data
-0.001152,1.8e-05,4.8e-05,-0.000202,0.000121,2.6e-05,-0.000307,0.000408,-0.000242,-0.000208,0.00012,2.5e-05,9.6e-05,-1.4e-05,-2e-06,1.4e-05,-3.4e-05,-4e-06,-0.000199,-2.1e-05,-2.3e-05,1.4e-05,-3.5e-05,-4e-06,0.001153,0.000237,0.000565,0.000241,9.7e-05,3.7e-05,0.000201,3.8e-05,'1'
0.00068,0.000487,3.8e-05,-6.2e-05,8.3e-05,2.8e-05,-1e-04,0.00034,-7e-05,-7e-05,8e-05,2.7e-05,0.000117,3e-05,-1e-06,9e-06,-2e-06,0,1.3e-05,-4e-06,1.1e-05,9e-06,-3e-06,0,0.000838,0.000107,0.000361,0.000109,0.000121,9e-06,1.8e-05,9e-06,'1'
0.00039,0.000352,3.6e-05,5.1e-05,2.2e-05,3.3e-05,-0.000277,0.000351,-3.8e-05,4.2e-05,1.7e-05,3.1e-05,-0.000181,-8.4e-05,-1e-06,7.1e-05,-3.8e-05,3e-06,-0.00011,7e-06,2e-05,7e-05,-3.9e-05,3e-06,0.000527,6.5e-05,0.000448,5.5e-05,2e-04,8e-05,0.000112,8e-05,'1'
0.000309,0.000163,3.3e-05,4.1e-05,3.5e-05,5.9e-05,0.000254,0.000248,7.2e-05,2.8e-05,2.8e-05,5.6e-05,-2.6e-05,-6.1e-05,-1e-06,-3e-06,4e-06,8e-06,0.000171,-3.3e-05,3.5e-05,-5e-06,4e-06,8e-06,0.000351,8e-05,0.000362,6.9e-05,6.6e-05,1e-05,0.000178,1e-05,'1'
-0.000412,-0.000464,2.3e-05,-1.6e-05,5.3e-05,8.5e-05,-0.000542,-0.000273,-0.000131,-3e-05,4.5e-05,8.2e-05,-0.000153,-0.000133,-2e-06,-1.2e-05,4e-06,6e-06,-0.000169,-0.000111,-4.3e-05,-1.2e-05,3e-06,5e-06,0.000621,0.000101,0.000621,9.8e-05,0.000203,1.4e-05,0.000207,1.4e-05,'1'
-0.000592,-0.000772,1e-06,-0.000473,-0.000485,3.5e-05,-0.000599,-5e-04,-8.4e-05,-0.000488,-0.000493,3.2e-05,-0.00012,-0.000205,-1.5e-05,-0.000305,-0.000358,-3.3e-05,-3.8e-05,-0.000152,3.2e-05,-0.000305,-0.000358,-3.3e-05,0.000973,0.000678,0.000785,0.000694,0.000238,0.000471,0.000159,0.000471,'1'
-0.001592,-0.000936,-8e-06,-0.000337,-0.000534,-3e-06,-0.000932,-0.000563,-0.000315,-0.000347,-0.00054,-5e-06,-0.000313,-5.1e-05,-3e-06,4.3e-05,-1.5e-05,-1.2e-05,-0.000104,-2e-05,-7.2e-05,4.4e-05,-1.5e-05,-1.2e-05,0.001847,0.000631,0.001133,0.000642,0.000317,4.7e-05,0.000128,4.8e-05,'1'
-0.001574,-0.000927,-8e-06,-0.000305,-0.000699,-8e-06,0.000372,-0.000412,-0.000214,-0.000319,-0.000707,-1.1e-05,6e-06,3e-06,0,1e-05,-5.3e-05,-2e-06,0.00042,4.9e-05,3.2e-05,9e-06,-5.4e-05,-2e-06,0.001827,0.000763,0.000595,0.000776,7e-06,5.4e-05,0.000425,5.5e-05,'1'
-0.001745,-0.000868,-9e-06,-0.000229,-0.000227,1.8e-05,-0.001105,-0.000666,2.1e-05,-0.000238,-0.000232,1.7e-05,-0.000114,3.9e-05,-1e-06,5.1e-05,0.000315,1.8e-05,-0.000984,-0.00017,0.000157,5.4e-05,0.000316,1.9e-05,0.001949,0.000323,0.00129,0.000333,0.00012,0.000319,0.001011,0.000321,'1'
-0.000544,-0.000368,5e-06,-0.000186,-0.000217,1.2e-05,-0.001677,-0.000612,0.000178,-0.000194,-0.000222,1e-05,0.000376,0.000156,5e-06,1.3e-05,3e-06,-2e-06,-0.000179,1.7e-05,4.9e-05,1.4e-05,3e-06,-2e-06,0.000656,0.000286,0.001794,0.000295,0.000407,1.4e-05,0.000186,1.4e-05,'1'
-0.000657,-0.000317,7e-06,-0.000208,-0.000182,1e-05,-0.002025,-0.000557,0.000261,-0.000214,-0.000186,8e-06,-3.7e-05,1.6e-05,0,-7e-06,1.1e-05,-1e-06,-0.000112,1.8e-05,2.7e-05,-6e-06,1.2e-05,-1e-06,0.00073,0.000276,0.002117,0.000283,4e-05,1.3e-05,0.000117,1.3e-05,'1'
-0.000286,-6.6e-05,3e-06,0.000601,2.2e-05,1e-05,-0.000398,-0.000132,4.4e-05,0.000594,1.8e-05,8e-06,0.00012,8.1e-05,-1e-06,0.000261,6.6e-05,0,0.000525,0.000137,-7e-05,0.000261,6.6e-05,0,0.000294,0.000601,0.000421,0.000594,0.000145,0.000269,0.000547,0.000269,'1'
-0.000105,7.8e-05,-1e-06,0.000604,6.1e-05,2e-06,0.000225,0.000159,8.2e-05,0.000599,5.9e-05,1e-06,5.8e-05,4.6e-05,-1e-06,1e-06,1.3e-05,-3e-06,0.000201,9.4e-05,1.2e-05,2e-06,1.3e-05,-2e-06,0.000131,0.000607,0.000288,0.000602,7.5e-05,1.3e-05,0.000222,1.4e-05,'1'
-0.000179,4.2e-05,5e-06,0.000692,0.000168,2.2e-05,-0.00042,3.9e-05,0.000202,0.000687,0.000166,2.1e-05,-2.4e-05,-1.2e-05,2e-06,2.8e-05,3.4e-05,7e-06,-0.000208,-3.9e-05,3.9e-05,2.8e-05,3.4e-05,7e-06,0.000184,0.000712,0.000468,0.000708,2.7e-05,4.5e-05,0.000215,4.5e-05,'1'
-0.000249,0.000107,1.5e-05,0.000218,0.000181,3.4e-05,-0.000462,1.3e-05,0.000174,0.000218,0.000182,3.4e-05,-2.2e-05,2e-05,3e-06,-0.000148,4e-06,4e-06,-1.3e-05,-8e-06,-9e-06,-0.000147,5e-06,4e-06,0.000271,0.000285,0.000494,0.000286,3e-05,0.000148,1.8e-05,0.000147,'1'
-0.00049,0.000137,0,0.000384,0.000306,1.5e-05,-0.000526,-3.8e-05,0.000107,0.000391,0.000311,1.6e-05,-3.9e-05,5e-06,-3e-06,2.7e-05,2e-05,-3e-06,-1e-05,-8e-06,-1.1e-05,2.8e-05,2.1e-05,-3e-06,0.000509,0.000491,0.000538,0.000499,3.9e-05,3.4e-05,1.7e-05,3.5e-05,'1'
-0.000384,0.000114,-2e-06,0.000119,0.000127,0,2.3e-05,2.8e-05,3e-06,0.000124,0.000131,1e-06,2.3e-05,-5e-06,0,-5.6e-05,-3.8e-05,-3e-06,0.000117,1.4e-05,-2.2e-05,-5.7e-05,-3.8e-05,-3e-06,4e-04,0.000174,3.6e-05,0.000181,2.3e-05,6.8e-05,0.00012,6.8e-05,'1'
-0.000342,5.5e-05,-2e-06,0.000222,7.8e-05,-9e-06,0.000178,0.000139,-2.1e-05,0.000224,8e-05,-9e-06,2.8e-05,-3.9e-05,0,6.9e-05,-3.3e-05,-6e-06,0.000103,7.4e-05,-1.6e-05,6.6e-05,-3.4e-05,-6e-06,0.000346,0.000236,0.000227,0.000238,4.8e-05,7.6e-05,0.000128,7.5e-05,'1'
-0.000156,-7.8e-05,2e-06,-0.000287,-9.3e-05,-2.3e-05,0.000571,0.000294,-7.9e-05,-0.000292,-9.7e-05,-2.4e-05,5.8e-05,-4.2e-05,1e-06,-0.000159,-5.4e-05,-4e-06,0.000123,4.8e-05,-1.8e-05,-0.000161,-5.5e-05,-5e-06,0.000174,0.000303,0.000647,0.000309,7.2e-05,0.000168,0.000133,0.00017,'1'
-0.000249,-3.4e-05,9e-06,-0.00013,-3.7e-05,1.3e-05,0.001444,0.000364,1.5e-05,-0.000135,-4e-05,1.2e-05,-3e-05,1.4e-05,2e-06,5.1e-05,1.8e-05,1.1e-05,0.000282,2.3e-05,3.1e-05,5.1e-05,1.8e-05,1.1e-05,0.000251,0.000136,0.00149,0.000141,3.3e-05,5.5e-05,0.000284,5.5e-05,'1'
-0.000208,0.000173,-2.7e-05,-0.000269,0.000155,-1.3e-05,0.000947,0.00021,9.5e-05,-0.000258,0.000163,-1.1e-05,1.3e-05,6.7e-05,-1.1e-05,-4.5e-05,6.2e-05,-8e-06,-0.00016,-5e-05,2.6e-05,-4e-05,6.5e-05,-7e-06,0.000272,0.000311,0.000975,0.000305,6.9e-05,7.7e-05,0.00017,7.7e-05,'1'
-0.000138,0.000208,-2.3e-05,-0.000276,-3e-06,1.4e-05,0.00044,0.000106,0.000184,-0.000265,6e-06,1.6e-05,2.3e-05,1.1e-05,1e-06,-2e-06,-5.1e-05,9e-06,-0.000164,-3.4e-05,2.9e-05,-2e-06,-5.1e-05,9e-06,0.000251,0.000277,0.000489,0.000265,2.5e-05,5.2e-05,0.000169,5.2e-05,'1'
-4.8e-05,0.000169,-3.5e-05,-0.003473,-0.001297,-0.000291,-0.000275,0.000115,9.8e-05,-0.00346,-0.001289,-0.000289,2.9e-05,-1.2e-05,-4e-06,-0.001031,-0.000418,-9.8e-05,-0.000231,3e-06,-2.8e-05,-0.001031,-0.000417,-9.8e-05,0.00018,0.003719,0.000313,0.003704,3.2e-05,0.001117,0.000232,0.001117,'1'
-2.5e-05,-2.8e-05,-5e-06,-0.010651,-0.007058,-0.001249,-0.000229,0.000133,1e-04,-0.005342,-0.001501,-0.000465,7e-06,-6.2e-05,1e-05,-0.002243,-0.0018,-0.000299,1.4e-05,6e-06,1e-06,-0.000588,-6.6e-05,-5.5e-05,3.8e-05,0.012838,0.000283,0.005569,6.3e-05,0.002892,1.6e-05,0.000594,'1'
0.000359,-4.6e-05,-1.7e-05,-0.009943,-0.006424,-0.001115,-4.2e-05,6.4e-05,0.000113,-0.004186,-0.001215,-0.000342,8.3e-05,-4e-06,-3e-06,0.000154,0.000138,2.9e-05,4.1e-05,-1.5e-05,3e-06,0.000251,6.2e-05,2.7e-05,0.000362,0.011891,0.000136,0.004372,8.3e-05,0.000209,4.3e-05,0.00026,'1'
2e-04,0.000109,-4.5e-05,-0.006831,-0.004577,-0.000817,-0.000377,3.6e-05,-3e-06,-0.003202,5.9e-05,-0.000403,-3.4e-05,3.3e-05,-6e-06,0.000662,0.000393,6.3e-05,-7.1e-05,-6e-06,-2.5e-05,0.00021,0.000271,-1.3e-05,0.000232,0.008263,0.000378,0.003227,4.7e-05,0.000773,7.6e-05,0.000343,'1'
0.000503,0.000174,-5.2e-05,-0.001421,-0.000412,-8.1e-05,0.000326,7.9e-05,-0.000212,-0.001857,3.9e-05,-0.000284,9.8e-05,2.1e-05,-2e-06,0.001745,0.001344,0.000238,0.000227,1.4e-05,-6.7e-05,0.000434,-6e-06,3.8e-05,0.000535,0.001482,0.000397,0.001879,1e-04,0.002215,0.000237,0.000436,'1'
0.000976,0.000667,-8e-06,-0.001027,-0.000299,-7.4e-05,0.000536,0.000271,-0.000263,-0.003779,-0.000182,-0.000548,0.000148,0.000154,1.4e-05,0.000123,3.5e-05,2e-06,6.6e-05,6e-05,-1.6e-05,-0.000601,-6.9e-05,-8.2e-05,0.001182,0.001073,0.000656,0.003823,0.000214,0.000128,9e-05,0.00061,'1'
0.001096,0.000534,3.3e-05,-0.000392,-0.000529,-3.9e-05,0.000807,0.000255,-0.000175,-0.001687,-0.000343,-0.00022,3.9e-05,-4.3e-05,1.3e-05,0.000205,-7.4e-05,1.1e-05,8.7e-05,-5e-06,2.8e-05,0.000675,-5.2e-05,0.000106,0.00122,0.00066,0.000865,0.001736,5.9e-05,0.000218,9.2e-05,0.000685,'1'
0.000585,0.000451,5.2e-05,-0.000358,-0.000518,-2.9e-05,-0.000503,0,0.000113,-0.001449,-0.000284,-0.000171,-0.000165,-2.7e-05,6e-06,1.1e-05,3e-06,3e-06,-0.000423,-8.3e-05,9.3e-05,7.7e-05,1.9e-05,1.6e-05,0.000741,0.000631,0.000515,0.001487,0.000167,1.2e-05,0.00044,8.1e-05,'1'
-0.000127,-0.000102,4e-06,-6.2e-05,-0.000182,-8e-06,-4.3e-05,-0.00011,-2.4e-05,0.000169,6e-06,1.4e-05,-0.000115,-8.9e-05,-8e-06,4.8e-05,5.4e-05,3e-06,7.4e-05,-1.8e-05,-2.2e-05,0.000261,4.7e-05,3e-05,0.000163,0.000193,0.000121,0.00017,0.000146,7.2e-05,7.9e-05,0.000267,'1'
0.000172,-0.000105,1e-05,-0.000917,-0.000538,-6.8e-05,-0.000378,-0.000142,8.4e-05,-0.000462,-3.9e-05,-6.2e-05,9.4e-05,-1e-06,2e-06,-0.000267,-0.000111,-1.9e-05,-0.000105,-1e-05,3.4e-05,-0.000197,-1.4e-05,-2.4e-05,0.000202,0.001065,0.000413,0.000468,9.4e-05,0.00029,0.000111,0.000199,'1'
0.000237,-7.2e-05,-3e-06,-0.000776,-0.000472,-6.4e-05,0.001316,0.000119,-0.000274,0.000807,-0.00026,0.000154,1.4e-05,7e-06,-3e-06,3.1e-05,1.4e-05,1e-06,0.000368,5.7e-05,-7.8e-05,0.000276,-4.8e-05,4.7e-05,0.000247,0.00091,0.001349,0.000862,1.6e-05,3.4e-05,0.000381,0.000284,'1'
0.000247,-0.000111,0,-0.00089,-0.000559,-7e-05,0.001564,-0.00012,-9.1e-05,0.000804,-0.000196,0.000171,3e-06,-1.2e-05,1e-06,-3.6e-05,-2.7e-05,-2e-06,7.8e-05,-7.5e-05,5.7e-05,-1e-06,2e-05,5e-06,0.000271,0.001054,0.001572,0.000845,1.3e-05,4.5e-05,0.000122,2.1e-05,'1'
7.5e-05,-5.2e-05,-1.1e-05,-5.3e-05,1.3e-05,4e-06,0.001778,-1.7e-05,-0.000182,0.001146,-4.6e-05,2e-04,-3.7e-05,1.3e-05,-2e-06,0.000182,0.000124,1.6e-05,4.6e-05,2.2e-05,-2e-05,7.4e-05,3.3e-05,6e-06,9.2e-05,5.5e-05,0.001787,0.001164,4e-05,0.000221,5.5e-05,8.1e-05,'1'
0.000274,-9.8e-05,1e-06,-0.000162,4.7e-05,-1e-06,0.000382,-0.000295,0.000232,-0.000519,0.000297,-7.8e-05,6.2e-05,-1.5e-05,4e-06,-3.4e-05,1.1e-05,-1e-06,-0.000436,-8.7e-05,0.000129,-0.00052,0.000107,-8.7e-05,0.000291,0.000169,0.000535,0.000603,6.4e-05,3.6e-05,0.000463,0.000538,'1'
0.000125,-8.7e-05,1e-06,-0.000307,3.8e-05,-1.8e-05,0.000102,-9.6e-05,8.3e-05,-0.00045,0.000154,-8.5e-05,-4.8e-05,4e-06,0,-4.7e-05,-3e-06,-6e-06,-9.1e-05,6.4e-05,-4.8e-05,2.2e-05,-4.6e-05,-2e-06,0.000152,0.00031,0.000163,0.000484,4.8e-05,4.7e-05,0.000121,5.1e-05,'1'
0.002438,0.000694,-4.5e-05,-0.000625,9.2e-05,-4.6e-05,-0.000266,-0.000222,0.000183,0.000864,0.00023,0.000231,0.000492,0.000166,-1e-05,-6.8e-05,1.2e-05,-6e-06,-7.8e-05,-2.7e-05,2.1e-05,0.00028,1.6e-05,6.7e-05,0.002535,0.000634,0.000392,0.000924,0.00052,6.9e-05,8.5e-05,0.000288,'1'
0.002639,0.000813,-5.2e-05,-0.000742,0.000128,-5.2e-05,0.000374,4.5e-05,-7.9e-05,0.000584,0.000161,0.000204,6.5e-05,3.8e-05,-2e-06,-3.8e-05,1.1e-05,-2e-06,0.000207,8.6e-05,-8.4e-05,-9e-05,-2.2e-05,-9e-06,0.002762,0.000755,0.000385,0.000639,7.5e-05,3.9e-05,0.000239,9.4e-05,'1'
0.002237,0.000655,-5.7e-05,-0.000736,0.000141,-6.5e-05,0.000436,8.8e-05,-9.9e-05,0.00071,4.9e-05,0.000278,-8.6e-05,-3.4e-05,-1e-06,1e-06,3e-06,-3e-06,1.3e-05,9e-06,-4e-06,2.7e-05,-2.4e-05,1.6e-05,0.002331,0.000752,0.000456,0.000764,9.2e-05,4e-06,1.7e-05,3.9e-05,'1'
0.003233,-0.000744,-6.4e-05,-0.000881,4.1e-05,-5.4e-05,0.001183,0.000214,-0.000194,3.4e-05,-0.000171,0.000149,0.000321,-0.000451,-2e-06,-4.7e-05,-3.2e-05,3e-06,0.000241,4.1e-05,-3e-05,-0.000218,-7.1e-05,-4.1e-05,0.003318,0.000884,0.001218,0.00023,0.000554,5.7e-05,0.000246,0.000233,'1'
-0.008719,-0.00227,0.00125,-0.000818,-9.5e-05,-2.8e-05,0.000111,-0.000145,6.9e-05,0.001011,-2.4e-05,0.000278,-0.003855,-0.000492,0.000424,2.1e-05,-4.4e-05,8e-06,-0.000346,-0.000116,8.5e-05,0.000315,4.8e-05,4.2e-05,0.009096,0.000824,0.000195,0.001049,0.00391,4.9e-05,0.000374,0.000321,'1'
0.003148,-0.00035,2.4e-05,-0.000879,-0.000217,9e-06,-0.000351,-0.000276,0.000132,0.000787,2e-05,0.000217,0.003828,0.000619,-0.000395,-2e-05,-3.9e-05,1.2e-05,-0.000149,-4.2e-05,2e-05,-7.2e-05,1.4e-05,-2e-05,0.003168,0.000906,0.000466,0.000816,0.003898,4.6e-05,0.000156,7.6e-05,'1'
-0.000755,0.000476,8e-05,-0.00038,-8.4e-05,6.9e-05,-0.000738,-0.000413,0.000162,-4.8e-05,-4.5e-05,7.5e-05,-0.001259,0.000266,1.8e-05,0.000161,4.3e-05,1.9e-05,-0.000125,-4.4e-05,1e-05,-0.000269,-2.1e-05,-4.6e-05,0.000896,0.000395,0.000861,1e-04,0.001287,0.000168,0.000133,0.000274,'1'
0.011372,0.001497,-0.001309,-0.000177,0.000213,8e-06,-0.000381,-1e-04,8e-05,-0.000313,-0.000123,-2.2e-05,0.00258,0.000217,-0.000295,4.3e-05,6.3e-05,-1.3e-05,7.6e-05,6.7e-05,-1.7e-05,-5.6e-05,-1.7e-05,-2.1e-05,0.011544,0.000277,0.000402,0.000337,0.002606,7.8e-05,0.000102,6.2e-05,'1'
-0.00011,-0.000234,-2.5e-05,-0.000241,0.000127,-1.7e-05,-0.000446,-3.2e-05,6.1e-05,-9.4e-05,-6.6e-05,5e-06,-0.001472,-0.000222,0.000165,-8e-06,-1.1e-05,-3e-06,-8e-06,9e-06,-2e-06,2.8e-05,7e-06,3e-06,0.00026,0.000272,0.000451,0.000116,0.001498,1.4e-05,1.2e-05,2.9e-05,'1'
5e-05,-0.000312,-4.7e-05,-0.000373,8.9e-05,-5.6e-05,-0.000414,0.000106,-5e-06,-9.6e-05,3.9e-05,-1.9e-05,5.1e-05,-2.5e-05,-7e-06,-4.3e-05,-1.2e-05,-1.3e-05,1e-05,4.4e-05,-2.1e-05,0,3.4e-05,-8e-06,0.00032,0.000387,0.000427,0.000105,5.8e-05,4.6e-05,5e-05,3.5e-05,'1'
-0.000504,-0.000101,-7e-06,-0.000534,-0.000112,-4.2e-05,-0.000611,-2.6e-05,-9e-06,-0.000278,-8.3e-05,1.2e-05,-0.000173,6.6e-05,1.2e-05,-5e-05,-6.3e-05,4e-06,-6.2e-05,-4.1e-05,-1e-06,-5.7e-05,-3.8e-05,1e-05,0.000514,0.000547,0.000611,0.00029,0.000186,8.1e-05,7.4e-05,6.9e-05,'1'
-0.000629,-0.000225,-3.4e-05,-0.000556,-0.000189,-1.9e-05,-0.000633,4.5e-05,2e-06,-0.000571,-0.000608,-8e-06,-4e-05,-4e-05,-9e-06,-7e-06,-2.5e-05,7e-06,-7e-06,2.3e-05,4e-06,-9.4e-05,-0.000169,-6e-06,0.000669,0.000588,0.000635,0.000834,5.8e-05,2.7e-05,2.4e-05,0.000194,'1'
-0.000623,-2e-06,-2e-06,0.000184,-0.000335,6.6e-05,-0.000678,8e-06,3.7e-05,-0.000304,-0.000936,-2e-05,2e-06,7.2e-05,1e-05,0.000239,-4.7e-05,2.8e-05,-1.5e-05,-1.2e-05,1.1e-05,8.6e-05,-0.000106,-4e-06,0.000623,0.000388,0.000679,0.000985,7.3e-05,0.000245,2.2e-05,0.000137,'1'
-0.000481,-2.7e-05,6e-06,0.00907,0.003773,0.001542,-0.000456,0.000183,1e-04,-0.000359,-0.001028,-8.2e-05,4.6e-05,-8e-06,3e-06,0.002866,0.001325,0.000476,7.2e-05,5.6e-05,2e-05,-1.8e-05,-2.9e-05,-2e-05,0.000482,0.009943,0.000501,0.001092,4.7e-05,0.003193,9.4e-05,4e-05,'1'
-0.01468,-0.001026,0.001715,0.01002,0.003391,0.001352,-0.00029,0.000247,0.000116,-0.000233,-0.000643,-0.000106,-0.00458,-0.000322,0.000551,0.000307,-0.000123,-6.1e-05,5.3e-05,2.1e-05,5e-06,4.1e-05,0.000124,-8e-06,0.014816,0.010664,0.000398,0.000692,0.004625,0.000336,5.7e-05,0.000131,'1'
-0.012584,-0.000849,0.001476,0.007897,0.003478,0.001064,-0.000143,0.000254,0.000111,-0.000219,-0.000459,-6.6e-05,0.000446,3.7e-05,-5.1e-05,-0.000452,1.9e-05,-6.1e-05,3.1e-05,1e-06,-1e-06,3e-06,3.9e-05,9e-06,0.012699,0.008695,0.000312,0.000513,0.00045,0.000456,3.1e-05,4e-05,'1'
-0.012276,-0.000775,0.001537,-0.002624,-0.00119,-0.000898,-6.2e-05,0.000211,0.00012,-0.00019,-0.000189,-0.000102,9.9e-05,2.4e-05,1.9e-05,-0.003394,-0.001506,-0.000633,2.6e-05,-1.4e-05,3e-06,9e-06,8.7e-05,-1.2e-05,0.012396,0.003018,0.000251,0.000287,0.000104,0.003767,3e-05,8.8e-05,'1'
1e-05,6.2e-05,0.000103,-0.003255,-0.000365,-0.000711,-9.6e-05,6.1e-05,9.3e-05,-0.000467,-0.000476,-0.000115,0.003839,0.000261,-0.000448,-0.000197,0.000258,5.9e-05,-1.1e-05,-4.7e-05,-8e-06,-8.6e-05,-9e-05,-4e-06,0.00012,0.003352,0.000147,0.000676,0.003874,0.00033,4.9e-05,0.000125,'1'
0.000426,-0.000178,0.000185,-0.003532,-0.000804,-0.000766,0.000186,-0.000128,0.000151,0.001888,-7.2e-05,0.000163,0.000134,-7.7e-05,2.7e-05,-8.9e-05,-0.000142,-1.8e-05,9.1e-05,-6.1e-05,1.9e-05,0.000759,0.00013,9e-05,0.000498,0.003702,0.000272,0.001896,0.000157,0.000168,0.000111,0.000776,'1'
4.8e-05,-0.00021,9e-05,-0.001111,-0.001516,-3.6e-05,-0.000108,-0.000176,6.8e-05,-0.006438,-0.00474,-0.000331,-0.000122,-1e-05,-3.1e-05,0.000781,-0.00023,0.000236,-9.5e-05,-1.6e-05,-2.7e-05,-0.002686,-0.001506,-0.000159,0.000234,0.00188,0.000218,0.008002,0.000126,0.000847,1e-04,0.003083,'1'
