@relation data
@attribute heart_rate numeric
@attribute temperature numeric
@attribute class {'1','2','3','4'}
@data
110,36.9,'3'
117,36.9,'3'
114,36.85,'3'
113,36.9,'3'
117,36.85,'3'
115,36.85,'4'
140,36.9,'4'
130,36.9,'4'
122,36.9,'4'
123,36.9,'4'
106,36.9,'4'
118,36.9,'4'
126,36.9,'4'
117,36.9,'4'
117,36.9,'4'
119,36.9,'4'
132,36.9,'4'
142,36.9,'4'
115,36.9,'4'
128,36.9,'4'
112,36.9,'4'
112,36.9,'4'
118,36.9,'4'
138,36.9,'4'
109,36.9,'4'
118,36.9,'4'
119,36.9,'4'
113,36.95,'4'
124,36.95,'4'
128,36.95,'4'
122,36.95,'4'
123,36.95,'4'
114,36.95,'4'
113,36.95,'4'
133,36.95,'4'
116,36.95,'4'
119,36.95,'4'
111,36.95,'3'
113,36.95,'3'
121,36.95,'3'
121,36.95,'3'
124,37,'3'
112,37,'3'
122,37,'3'
118,37,'3'
127,37,'3'
115,37,'3'
119,36.95,'3'
123,36.95,'3'
111,36.95,'3'
116,37,'3'
124,36.95,'3'
123,36.95,'3'
123,36.95,'3'
116,37,'3'
124,36.95,'3'
132,36.95,'3'
116,36.95,'3'
126,36.95,'1'
114,36.95,'1'
120,36.95,'1'
125,36.95,'1'
121,36.95,'1'
119,36.95,'1'
124,36.95,'1'
126,36.95,'1'
127,36.95,'1'
117,36.95,'1'
122,36.95,'1'
119,36.95,'1'
120,36.95,'1'
128,36.95,'1'
125,36.95,'1'
130,36.95,'1'
130,36.95,'1'
124,36.95,'1'
118,36.95,'1'
122,36.95,'1'
116,36.95,'1'
122,36.95,'1'
119,36.95,'1'
120,36.95,'1'
128,36.95,'1'
125,36.95,'1'
128,36.95,'1'
126,36.95,'1'
120,36.95,'1'
120,36.95,'1'
118,36.95,'1'
113,36.95,'1'
119,36.95,'1'
118,36.95,'1'
123,36.95,'1'
123,36.95,'1'
122,36.9,'1'
123,36.95,'1'
122,36.9,'1'
122,36.9,'1'
117,36.9,'1'
119,36.9,'1'
123,36.9,'1'
120,36.9,'1'
115,36.9,'1'
120,36.9,'1'
122,36.9,'1'
118,36.9,'1'
102,36.9,'1'
111,36.9,'1'
130,36.9,'1'
121,36.9,'1'
140,36.9,'1'
122,36.9,'2'
114,36.9,'2'
118,36.9,'2'
122,36.9,'2'
125,36.9,'3'
126,36.9,'3'
123,36.9,'3'
127,36.9,'3'
114,36.9,'3'
122,36.9,'3'
124,36.9,'3'
124,36.9,'3'
134,36.9,'4'
133,36.9,'4'
117,36.9,'3'
120,36.9,'3'
114,36.9,'3'
124,36.9,'3'
127,36.95,'3'
123,36.9,'3'
137,36.9,'3'
140,36.9,'3'
120,36.9,'3'
120,36.95,'3'
126,36.95,'3'
121,36.9,'3'
135,36.9,'3'
123,36.9,'3'
138,36.9,'4'
147,36.9,'4'
157,36.95,'4'
164,36.95,'4'
155,36.95,'4'
151,36.95,'4'
151,36.95,'4'
153,36.95,'4'
148,36.95,'4'
152,36.95,'4'
152,36.95,'4'
150,36.95,'4'
150,36.95,'4'
144,37,'4'
140,37,'4'
148,37,'4'
136,37,'4'
132,37,'4'
137,37,'4'
146,37,'4'
151,37,'4'
136,37.05,'4'
137,37.05,'4'
143,37.05,'4'
133,37.05,'4'
128,37.05,'4'
132,37.05,'4'
147,37.05,'4'
152,37.05,'4'
130,37.05,'4'
129,37.05,'4'
132,37.05,'4'
140,37.1,'4'
132,37.1,'4'
129,37.1,'4'
156,37.15,'4'
157,37.15,'4'
158,37.15,'4'
161,37.15,'4'
163,37.15,'4'
159,37.2,'4'
157,37.2,'4'
156,37.2,'4'
155,37.2,'4'
164,37.2,'4'
147,37.2,'4'
132,37.2,'4'
135,37.2,'4'
137,37.2,'4'
128,37.2,'4'
133,37.25,'4'
133,37.25,'4'
130,37.25,'4'
132,37.3,'4'
140,37.3,'4'
144,37.3,'4'
162,37.3,'4'
143,37.3,'4'
158,37.3,'4'
157,37.3,'4'
155,37.3,'4'
147,37.3,'2'
140,37.3,'2'
128,37.3,'3'
131,37.35,'3'
124,37.35,'3'
130,37.35,'3'
130,37.35,'3'
138,37.35,'3'
135,37.35,'3'
134,37.35,'3'
140,37.35,'3'
139,37.35,'3'
130,37.35,'3'
127,37.35,'3'
129,37.35,'3'
147,37.35,'3'
137,37.35,'3'
129,37.35,'3'
141,37.35,'3'
135,37.35,'3'
135,37.35,'3'
141,37.35,'3'
147,37.35,'3'
137,37.35,'3'
138,37.35,'3'
144,37.35,'3'
140,37.35,'3'
135,37.35,'3'
148,37.35,'3'
154,37.35,'1'
136,37.35,'1'
130,37.35,'1'
132,37.35,'1'
131,37.35,'1'
131,37.3,'1'
136,37.35,'1'
139,37.3,'1'
131,37.3,'1'
136,37.3,'1'
133,37.3,'1'
134,37.3,'1'
136,37.3,'1'
134,37.3,'1'
131,37.3,'1'
132,37.3,'1'
124,37.3,'1'
129,37.3,'1'
130,37.3,'1'
133,37.3,'1'
132,37.3,'1'
130,37.25,'1'
124,37.25,'1'
125,37.25,'1'
127,37.25,'1'
127,37.25,'1'
130,37.25,'1'
128,37.2,'1'
129,37.2,'1'
129,37.2,'1'
129,37.2,'1'
127,37.2,'1'
129,37.2,'1'
130,37.2,'1'
129,37.2,'1'
129,37.2,'1'
129,37.2,'1'
129,37.15,'1'
131,37.15,'1'
130,37.15,'1'
129,37.15,'1'
127,37.15,'1'
128,37.15,'1'
129,37.15,'1'
130,37.15,'1'
128,37.15,'1'
126,37.1,'1'
126,37.1,'1'
127,37.1,'1'
129,37.1,'1'
129,37.1,'1'
129,37.1,'1'
129,37.05,'1'
128,37.05,'1'
128,37.05,'1'
128,37.05,'1'
126,37.05,'1'
126,37.05,'1'
127,37.05,'1'
125,37.05,'1'
128,37.05,'1'
124,37.05,'1'
127,37,'1'
118,37,'1'
118,37,'1'
120,37,'1'
124,36.95,'1'
135,36.95,'1'
126,36.95,'3'
132,36.95,'3'
135,36.95,'3'
129,36.95,'3'
131,36.95,'3'
126,36.95,'3'
117,36.95,'3'
136,36.95,'3'
137,36.95,'3'
126,36.95,'3'
126,36.95,'3'
124,36.95,'3'
122,36.95,'3'
122,37,'3'
124,37,'3'
124,36.95,'3'
138,37,'3'
145,37,'3'
124,37,'3'
128,37,'3'
125,37,'3'
125,37,'3'
142,37.05,'3'
125,37.05,'3'
123,37.05,'3'
130,37.05,'3'
133,37.05,'3'
135,37.05,'3'
119,37.05,'3'
130,37.05,'3'
131,37.05,'3'
128,37.05,'3'
139,37.05,'3'
132,37.05,'3'
124,37.05,'3'
128,37.05,'3'
136,37.05,'3'
126,37.05,'3'
129,37.05,'3'
129,37.05,'3'
130,37.05,'3'
123,37.05,'3'
129,37.05,'3'
129,37.05,'3'
137,37.05,'3'
125,37.05,'3'
137,37.05,'3'
141,37.05,'3'
121,37.05,'2'
124,37.05,'2'
126,37.05,'2'
132,37.05,'2'
124,37.1,'2'
127,37.05,'2'
138,37.05,'2'
120,37.05,'2'
127,37.05,'2'
125,37.05,'2'
132,37.05,'2'
150,37.05,'2'
120,37.05,'2'
127,37.05,'2'
133,37.1,'2'
123,37.05,'2'
134,37.05,'2'
135,37.05,'2'
121,37.05,'2'
143,37.05,'2'
119,37.05,'2'
130,37.05,'2'
132,37.05,'2'
127,37.05,'2'
135,37.05,'2'
123,37.05,'1'
137,37.05,'1'
122,37.05,'1'
128,37.1,'1'
133,37.1,'1'
125,37.1,'1'
132,37.1,'1'
132,37.05,'1'
138,37.05,'1'
121,37.1,'1'
131,37.05,'1'
120,37.05,'1'
127,37.1,'1'
126,37.1,'1'
126,37.1,'1'
129,37.1,'1'
131,37.1,'1'
127,37.1,'1'
129,37.1,'1'
128,37.1,'1'
128,37.1,'1'
125,37.1,'1'
126,37.1,'1'
124,37.1,'1'
125,37.05,'1'
125,37.05,'1'
128,37.05,'1'
126,37.05,'1'
121,37.05,'1'
125,37.05,'1'
127,37.05,'1'
129,37.05,'1'
127,37.05,'1'
124,37.05,'1'
125,37.05,'1'
124,37.05,'1'
126,37.05,'1'
126,37.05,'1'
128,37.05,'1'
128,37.05,'1'
128,37.05,'1'
125,37.05,'1'
122,37.05,'1'
126,37.05,'1'
128,37.05,'1'
126,37.05,'1'
125,37,'1'
123,37,'1'
120,37,'1'
115,37,'1'
114,37,'1'
117,36.95,'1'
123,36.95,'1'
109,36.95,'1'
120,36.95,'1'
125,36.95,'1'
117,36.95,'4'
135,36.95,'4'
134,36.95,'4'
140,36.95,'4'
147,36.95,'4'
135,36.95,'4'
113,36.95,'4'
154,36.95,'4'
132,36.95,'4'
101,36.95,'4'
118,37,'4'
109,37.05,'4'
101,37.05,'4'
118,37.05,'4'
125,37.05,'4'
112,37.05,'4'
115,37.05,'4'
111,37.05,'4'
124,37.1,'4'
126,37.1,'4'
130,37.1,'4'
135,37.15,'4'
124,37.1,'4'
114,37.1,'4'
119,37.15,'4'
119,37.1,'4'
116,37.15,'4'
136,37.15,'4'
130,37.15,'4'
137,37.15,'4'
139,37.15,'4'
110,37.15,'4'
120,37.15,'4'
136,37.15,'4'
141,37.15,'4'
126,37.15,'4'
111,37.15,'4'
113,37.1,'4'
114,37.15,'4'
133,37.15,'4'
143,37.15,'4'
114,37.15,'4'
117,37.15,'4'
132,37.15,'4'
100,37.15,'4'
158,37.15,'4'
161,37.2,'4'
133,37.2,'4'
148,37.2,'4'
150,37.2,'4'
113,37.2,'4'
116,37.2,'4'
117,37.2,'4'
120,37.2,'4'
120,37.2,'4'
120,37.2,'4'
120,37.2,'4'
111,37.2,'4'
118,37.2,'4'
131,37.2,'4'
132,37.2,'4'
145,37.2,'4'
118,37.2,'4'
126,37.2,'4'
146,37.2,'4'
167,37.2,'4'
163,37.2,'4'
163,37.25,'4'
165,37.25,'4'
166,37.25,'4'
161,37.25,'4'
134,37.25,'4'
133,37.25,'4'
132,37.25,'4'
131,37.25,'4'
130,37.25,'4'
160,37.25,'4'
153,37.25,'4'
155,37.3,'4'
139,37.3,'4'
127,37.3,'4'
125,37.3,'4'
118,37.3,'4'
141,37.3,'4'
158,37.3,'4'
163,37.3,'4'
166,37.3,'4'
166,37.3,'4'
166,37.3,'4'
153,37.3,'4'
157,37.3,'4'
155,37.3,'4'
163,37.3,'4'
128,37.3,'4'
129,37.3,'4'
130,37.3,'4'
131,37.3,'4'
152,37.3,'4'
169,37.3,'4'
160,37.3,'4'
162,37.3,'4'
168,37.3,'4'
182,37.3,'4'
160,37.3,'4'
159,37.3,'4'
146,37.25,'4'
155,37.25,'4'
153,37.25,'2'
156,37.25,'2'
168,37.25,'2'
145,37.25,'2'
146,37.25,'3'
167,37.25,'3'
167,37.2,'3'
151,37.2,'3'
152,37.2,'3'
140,37.2,'3'
168,37.2,'3'
158,37.2,'3'
157,37.2,'2'
164,37.2,'2'
159,37.2,'2'
137,37.2,'2'
157,37.2,'2'
134,37.2,'2'
151,37.15,'2'
128,37.15,'2'
160,37.15,'2'
143,37.2,'2'
152,37.15,'2'
148,37.2,'2'
161,37.2,'1'
148,37.2,'1'
152,37.15,'1'
144,37.15,'1'
152,37.15,'1'
147,37.15,'1'
153,37.15,'1'
155,37.15,'1'
147,37.15,'1'
143,37.15,'1'
131,37.15,'1'
147,37.15,'1'
169,37.15,'1'
125,37.15,'1'
168,37.15,'1'
146,37.15,'1'
148,37.15,'1'
151,37.1,'1'
161,37.1,'1'
134,37.1,'1'
148,37.1,'1'
152,37.1,'1'
158,37.1,'1'
146,37.1,'1'
165,37.1,'1'
146,37.1,'1'
153,37.1,'1'
160,37.1,'1'
162,37.1,'1'
140,37.1,'1'
156,37.1,'1'
148,37.1,'1'
150,37.1,'1'
151,37.1,'1'
155,37.1,'1'
157,37.1,'1'
152,37.1,'1'
162,37.05,'1'
161,37.05,'1'
151,37.05,'1'
169,37.05,'1'
155,37.05,'1'
150,37.05,'1'
147,37.05,'1'
153,37.05,'1'
187,37.05,'1'
144,37.05,'1'
136,37.05,'1'
140,37.05,'1'
148,37.05,'1'
154,37.05,'1'
144,37.05,'1'
151,37.05,'1'
148,37.05,'1'
164,37.1,'1'
153,37.1,'1'
163,37.1,'1'
138,37.1,'1'
140,37.1,'1'
169,37.1,'1'
150,37.1,'1'
151,37.1,'3'
160,37.1,'3'
146,37.05,'3'
150,37.1,'3'
164,37.1,'3'
166,37.15,'3'
144,37.15,'3'
158,37.15,'3'
159,37.15,'3'
161,37.15,'3'
151,37.15,'3'
170,37.15,'3'
163,37.15,'3'
136,37.15,'3'
150,37.15,'3'
150,37.15,'3'
140,37.15,'3'
156,37.15,'3'
142,37.15,'3'
155,37.15,'3'
151,37.2,'3'
153,37.2,'3'
161,37.2,'3'
156,37.2,'3'
145,37.2,'3'
160,37.2,'3'
146,37.2,'3'
146,37.2,'3'
166,37.2,'3'
150,37.2,'3'
162,37.2,'3'
150,37.2,'3'
157,37.25,'3'
141,37.25,'3'
156,37.25,'3'
174,37.25,'3'
163,37.25,'3'
162,37.3,'3'
171,37.3,'3'
163,37.3,'3'
166,37.3,'3'
156,37.3,'3'
171,37.3,'3'
165,37.3,'3'
140,37.3,'3'
165,37.3,'2'
161,37.3,'2'
159,37.3,'2'
156,37.3,'2'
131,37.3,'2'
153,37.3,'2'
152,37.3,'2'
156,37.3,'2'
149,37.3,'2'
148,37.3,'2'
172,37.3,'2'
176,37.3,'2'
181,37.3,'3'
140,37.3,'3'
133,37.3,'3'
144,37.3,'3'
154,37.3,'3'
131,37.3,'3'
148,37.3,'3'
159,37.3,'3'
165,37.3,'3'
157,37.3,'3'
171,37.3,'3'
164,37.3,'3'
172,37.3,'4'
163,37.35,'4'
166,37.35,'4'
170,37.35,'4'
166,37.35,'4'
162,37.35,'4'
145,37.35,'4'
140,37.35,'4'
152,37.35,'4'
125,37.35,'4'
141,37.35,'4'
163,37.35,'4'
143,37.35,'2'
141,37.35,'2'
153,37.35,'2'
142,37.35,'2'
142,37.35,'2'
143,37.3,'2'
149,37.3,'2'
140,37.3,'1'
154,37.3,'1'
138,37.3,'1'
144,37.3,'1'
147,37.3,'1'
143,37.3,'1'
138,37.3,'1'
140,37.3,'1'
141,37.3,'1'
144,37.3,'1'
148,37.3,'1'
158,37.3,'1'
161,37.3,'1'
125,37.3,'1'
138,37.3,'1'
114,37.3,'1'
126,37.3,'1'
134,37.3,'1'
132,37.25,'1'
143,37.25,'1'
106,37.25,'1'
141,37.25,'1'
143,37.25,'1'
128,37.25,'1'
117,37.25,'1'
127,37.25,'1'
130,37.2,'1'
126,37.2,'1'
129,37.2,'1'
117,37.2,'1'
139,37.2,'1'
126,37.2,'1'
138,37.2,'1'
128,37.2,'1'
142,37.2,'1'
146,37.2,'1'
107,37.2,'1'
126,37.2,'1'
152,37.2,'1'
131,37.15,'1'
127,37.15,'1'
129,37.15,'1'
126,37.15,'1'
131,37.15,'1'
128,37.15,'1'
130,37.15,'1'
132,37.15,'1'
141,37.15,'1'
135,37.15,'1'
153,37.15,'1'
161,37.15,'1'
151,37.15,'1'
140,37.15,'1'
148,37.15,'4'
157,37.15,'4'
131,37.15,'4'
148,37.15,'4'
152,37.15,'4'
177,37.15,'4'
164,37.15,'4'
180,37.15,'4'
174,37.15,'4'
153,37.15,'4'
175,37.15,'4'
161,37.15,'4'
